Content ID,Content_Type,Reaction_type,Category,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,disgust,soccer,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,dislike,soccer,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,scared,soccer,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,disgust,soccer,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,interested,soccer,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,peeking,soccer,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,cherish,soccer,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,hate,soccer,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,peeking,soccer,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,love,soccer,65
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,indifferent,soccer,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,scared,soccer,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,interested,soccer,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,hate,soccer,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,scared,soccer,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,super love,soccer,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,peeking,soccer,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,indifferent,soccer,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,interested,soccer,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,intrigued,soccer,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,peeking,soccer,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,worried,soccer,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,like,soccer,50
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,heart,soccer,60
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,worried,soccer,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,hate,soccer,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,hate,soccer,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,cherish,soccer,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,super love,soccer,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,intrigued,soccer,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,scared,soccer,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,interested,soccer,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,indifferent,soccer,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,super love,soccer,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,disgust,soccer,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,super love,soccer,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,interested,soccer,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,dislike,soccer,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,scared,soccer,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,dislike,soccer,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,want,soccer,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,interested,soccer,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,indifferent,soccer,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,worried,soccer,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,video,hate,soccer,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,video,dislike,soccer,10
9f737e0a-3cdd-4d29-9d24-753f4e3be810,video,intrigued,soccer,45
9f737e0a-3cdd-4d29-9d24-753f4e3be810,video,peeking,soccer,35
9f737e0a-3cdd-4d29-9d24-753f4e3be810,video,scared,soccer,15
9f737e0a-3cdd-4d29-9d24-753f4e3be810,video,hate,soccer,5
9f737e0a-3cdd-4d29-9d24-753f4e3be810,video,disgust,soccer,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,video,hate,soccer,5
